filename	word	vowel	freq_f1	amp_f1	width_f1	freq_f2	amp_f2	width_f2	freq_f3	amp_f3	width_f3	freq_h1	amp_h1	freq_h2	amp_h2	amp_h3	amp_p0	freq_p0	p0_id	p0prominence	a1p0_h1	a1p0_h2	a1p0_h3	a1p0	a1p0_compensated	freq_p1	amp_p1	a1p1	a1p1_compensated	a3p0	vwl_amp_rms	vwl_duration	timepoint	point_time	point_vwlpct	attempted_fix	status	errorflag	initial_bi
T0055G0017S0074	n?2n	n	406	48.25	18	1766	20.93	204	2658	16.65	358	188	34.65	406	48.25	34.55	34.65	188	H1	13.65	13.6	0	13.70212	13.6	15.86877	1000	5.84	42.41	44.08111	-18.00483	0.060194138	80	1	1.08	0	None	Auto	None	n
T0055G0017S0074	n?2n	?2	250	46.01	297	1838	19.27	418	2717	28.12	103	125	20.7	250	46.01	39.42	46.01	250	H2	15.95	25.31	0	6.59462	0	2.3199	906	18.23	27.78	29.32193	-17.89475	0.058535016	100	1	1.16	0	None	Auto	A1isP0	n
T0055G0017S0074	n?yy3	n?	344	39	195	1702	19.1	229	2800	25.63	119	125	28.87	219	38.76	39	38.76	219	H2	4.82	10.13	0.24	-0.00141	0.24	2.56289	1031	13.55	25.45	27.20483	-13.13396	0.046454796	60	1	1.65	0	None	Auto	None	n
T0055G0017S0074	n?yy3	yy3	313	47.53	163	1551	18.84	523	2746	14.35	2446	156	5.37	313	47.53	1.71	47.53	313	H2	44	42.16	0	45.82362	0	3.18516	938	23.17	24.36	26.01987	-33.18387	0.041739513	70	1	1.71	0	None	Auto	A1isP0	n
T0055G0017S0077	n?ii3	n?	313	51.57	139	1502	37.41	107	2681	27.76	268	156	37.08	313	51.57	46.84	51.57	313	H2	9.61	14.49	0	4.72935	0	3.02775	906	28.48	23.09	24.92285	-23.81421	0.060169658	70	1	0.8	0	None	Auto	A1isP0	n
T0055G0017S0077	n?ii3	ii3	344	44.51	101	1994	19.46	318	3202	17.12	562	125	24.88	250	38.51	44.51	38.51	250	H2	3.81	19.63	6	-0.00409	6	8.69219	1031	12.43	32.08	33.59111	-21.39223	0.061636307	80	1	0.87	0	None	Auto	None	n
T0055G0017S0077	l??5	l	375	50.32	90	1596	27.6	272	2588	29.99	122	219	7.57	375	50.32	5.71	7.57	219	H1	43.68	42.75	0	44.61061	42.75	45.18871	875	-6.95	57.27	58.93698	22.42092	0.062974495	100	1	1.59	0	None	Auto	None	l
T0055G0017S0077	l??5	??5	1031	3.06	731	1953	-1.4	677	3189	-0.74	626	94	2.93	188	12.33	4.85	12.33	188	H2	8.44	0.13	-9.27	-1.7918	-9.27	-7.23588	1031	3.06	0	2.71415	-13.06579	0.063755118	60	1	1.69	0	None	Auto	Shallow	l
T0055G0017S0077	l?au3	l?	625	47.37	102	1464	29.16	525	2569	24.86	524	94	-1.07	313	35.32	3.78	35.32	313	H2	33.97	48.44	12.05	43.59034	12.05	14.35354	938	38.84	8.53	11.19246	-10.46439	0.035426247	30	1	2.18	0	None	Auto	HarmDev	l
T0055G0017S0077	l?au3	au3	938	8.55	587	1894	2.81	681	3214	3.06	1073	125	12.85	438	7.5	8.29	12.85	125	H1	3.14	-4.3	1.05	0.26185	-4.3	-2.2814	938	8.55	0	2.84921	-9.79451	0.034905143	60	1	2.21	0	None	Auto	HarmDev	l
T0055G0017S0078	l?oo4	l?	344	46.55	188	1539	15.93	1080	2691	17.09	547	125	29.26	250	40.23	46.55	40.23	250	H2	2.32	17.29	6.32	0.00351	6.32	8.72107	875	23.54	23.01	24.59955	-23.14316	0.040787701	90	1	2.07	0	None	Auto	None	l
T0055G0017S0078	l?oo4	oo4	313	54.06	147	595	46.31	2766	2758	23.55	156	156	36.09	313	54.06	46.31	54.06	313	H2	12.86	17.97	0	7.75112	0	2.90226	938	27.51	26.55	27.56805	-30.51028	0.040783706	90	1	2.16	0	None	Auto	A1isP0	l
T0055G0017S0080	n?2n	n	281	40.15	130	1648	19.78	225	2658	20.48	90	94	14.64	156	30.35	34.5	30.35	156	H2	4.39	25.51	9.8	5.65264	9.8	12.01176	875	8.59	31.56	33.15001	-9.86807	0.091052829	120	1	1.5	0	None	Auto	Shallow	n
T0055G0017S0080	n?2n	?2	250	42.22	144	1592	21.1	253	2678	26.86	75	125	33.43	250	42.22	42.13	42.22	250	H2	4.44	8.79	0	0.09309	0	2.56547	1031	16.76	25.46	27.32373	-15.36481	0.092104655	100	1	1.62	0	None	Auto	A1isP0	n
